classes;subclasses;shape
Bonnellidae;;Point
Polynoidae;;Point
Amphipods_present;;Point
Amphipods_absent;;Point
Cirripedia;;Polygon
galatheoidea;;Point
lithodoidea;;Point
brachyura;;Point
caridea;;Point
Actiniaria;;Point
Zoantharia;;Polygon
Alcyonacea;;Point
Asterozoa;;Point
Crinozoa;;Point
Echinoidea;;Point
Holothuroidea;;Point
Bivavia;Bivalvia_patch;Polygon
Alviniconcha;Alviniconcha_patch;Polygon
Eosipho;;Point
Ifremeria;Ifremeria_patch;Polygon
Phymorhynchus;;Point
tulip;;Point
pedonculate;;Point
encrusting;;Polygon
brain;;Point
round;bottle;Point
other;;Point
Osteichthyes;;Point
Cnidaria;Actiniaria/Zoantharia/Alcyonacea;Point
Annelida;Bonnellidae/Polynoidae;Point
Amphipoda;Amphipods_present/Amphipods_absent;Point
Decapoda;galatheoidea/lithodoidea/brachyura/caridea/anomura;Point
Echinodermata;Asterozoa/Crinozoa/Echinoidea/Holothuroidea;Point
Gastropoda;Alviniconcha/Eosipho/Ifremeria/Phymorhynchus;Polygon
arborescent;brain/round/other;Point
Arthropoda;Amphipoda/Cirripdia/Decapoda;Point
Mollusca;Bivalvia/Gastropoda;Point
Porifera;tulip/pedonculate/encrusting/arborescent;Point
diffusion area;;Polygon
focused flow;;Point
